"temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
730.59,1,0.4216,2.5816e-17,1,0.4216
730.79,1,0.4224,2.5865e-17,1,0.4224
730.99,1,0.4232,2.5914e-17,1,0.4232
731.19,1,0.424,2.5963e-17,1,0.424
731.39,1,0.4248,2.6011e-17,1,0.4248
731.59,1,0.4256,2.606e-17,1,0.4256
731.79,1,0.4264,2.6109e-17,1,0.4264
731.99,1,0.4272,2.6158e-17,1,0.4272
732.18,1,0.428,2.6207e-17,1,0.428
732.38,1,0.4288,2.6256e-17,1,0.4288
732.58,1,0.4296,2.6305e-17,1,0.4296
732.78,1,0.4304,2.6354e-17,1,0.4304
732.98,1,0.4312,2.6403e-17,1,0.4312
733.18,1,0.432,2.6452e-17,1,0.432
